Title,URL,Description,Best Rating,Worst Rating,Rating,Genre,Duration
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,https://www.imdb.com/title/tt0057012/,"An unhinged American general orders a bombing attack on the Soviet Union, triggering a path to nuclear holocaust that a war room full of politicians and generals frantically tries to stop.",10,1,8.3,"Comedy, War",PT1H35M
Oldeuboi,https://www.imdb.com/title/tt0364569/,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must track down his captor in five days.",10,1,8.3,"Action, Drama, Mystery",PT2H
American Beauty,https://www.imdb.com/title/tt0169547/,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter&apos;s best friend.,10,1,8.3,Drama,PT2H2M
Avengers: Endgame,https://www.imdb.com/title/tt4154796/,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos&apos; actions and restore balance to the universe.",10,1,8.4,"Action, Adventure, Drama",PT3H1M
Das Boot,https://www.imdb.com/title/tt0082096/,A German U-boat stalks the frigid waters of the North Atlantic as its young crew experience the sheer terror and claustrophobic life of a submariner in World War II.,10,1,8.4,"Drama, War",PT2H29M
Braveheart,https://www.imdb.com/title/tt0112573/,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.,10,1,8.3,"Biography, Drama, War",PT2H58M
Good Will Hunting,https://www.imdb.com/title/tt0119217/,"Will Hunting, a janitor at MIT, has a gift for mathematics, but needs help from a psychologist to find direction in his life.",10,1,8.3,"Drama, Romance",PT2H6M
Mononoke-hime,https://www.imdb.com/title/tt0119698/,"On a journey to find the cure for a Tatarigami&apos;s curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime.",10,1,8.3,"Animation, Action, Adventure",PT2H13M
Kimi no na wa.,https://www.imdb.com/title/tt5311514/,"Two teenagers share a profound, magical connection upon discovering they are swapping bodies. Things manage to become even more complicated when the boy and girl decide to meet in person.",10,1,8.4,"Animation, Drama, Fantasy",PT1H46M
Joker,https://www.imdb.com/title/tt7286456/,"Arthur Fleck, a party clown and a failed stand-up comedian, leads an impoverished life with his ailing mother. However, when society shuns him and brands him as a freak, he decides to embrace the life of chaos in Gotham City.",10,1,8.4,"Crime, Drama, Thriller",PT2H2M
Tengoku to jigoku,https://www.imdb.com/title/tt0057565/,An executive of a Yokohama shoe company becomes a victim of extortion when his chauffeur&apos;s son is kidnapped by mistake and held for ransom.,10,1,8.4,"Crime, Drama, Mystery",PT2H23M
3 Idiots,https://www.imdb.com/title/tt1187043/,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them &quot;idiots&quot;.",10,1,8.4,"Comedy, Drama",PT2H50M
Once Upon a Time in America,https://www.imdb.com/title/tt0087843/,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan 35 years later, where he must once again confront the ghosts and regrets of his old life.",10,1,8.3,"Crime, Drama",PT3H49M
Singin&apos; in the Rain,https://www.imdb.com/title/tt0045152/,A silent film star falls for a chorus girl just as he and his delusionally jealous screen partner are trying to make the difficult transition to talking pictures in 1920s Hollywood.,10,1,8.3,"Comedy, Musical, Romance",PT1H43M
Capharnaüm,https://www.imdb.com/title/tt8267604/,"While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect.",10,1,8.4,Drama,PT2H6M
Idi i smotri,https://www.imdb.com/title/tt0091251/,"After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II.",10,1,8.4,"Drama, Thriller, War",PT2H22M
Requiem for a Dream,https://www.imdb.com/title/tt0180093/,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.,10,1,8.3,Drama,PT1H42M
Toy Story 3,https://www.imdb.com/title/tt0435761/,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it&apos;s up to Woody to convince the other toys that they weren&apos;t abandoned and to return home.",10,1,8.3,"Animation, Adventure, Comedy",PT1H43M
Star Wars: Episode VI - Return of the Jedi,https://www.imdb.com/title/tt0086190/,"After rescuing Han Solo from Jabba the Hutt, the Rebel Alliance attempts to destroy the second Death Star while Luke struggles to help Darth Vader back from the dark side.",10,1,8.3,"Action, Adventure, Fantasy",PT2H11M
Jagten,https://www.imdb.com/title/tt2106476/,"A teacher lives a lonely life, all the while struggling over his son&apos;s custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent li...",10,1,8.3,Drama,PT1H55M
